city,station,element,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Frankfort,USW00063838,TMIN,-19,-41,3,76,111,51,13,8,7,35,28,11,-37,-83,-92,-1,-84,-116,-116,-57,-87,-17,87,33,-2,-39,-26,-42,5,-9999,-9999
Baton Rouge,USC00160555,TMIN,67,56,56,89,161,183,100,94,100,94,100,111,39,0,6,17,56,11,11,22,72,106,128,172,89,33,44,44,44,111,-9999
Baton Rouge,USC00165620,TMIN,44,33,39,56,144,178,78,67,72,44,56,106,28,-11,-33,6,44,0,-33,-22,33,33,89,156,72,0,6,28,28,-9999,-9999
Baton Rouge,USW00013970,TMIN,22,11,33,128,150,122,78,61,61,39,144,56,6,-16,-16,100,17,-16,-27,28,61,100,172,78,22,-5,33,6,-9999,-9999,-9999
Augusta,USC00179151,TMIN,-6,6,-6,-33,0,11,11,-6,-17,-28,-17,22,-17,-6,-61,-67,-28,-6,-56,-72,-56,-9999,-9999,-44,56,6,-33,-94,-133,-111,-9999
Augusta,USW00014605,TMIN,17,0,-10,0,33,11,17,-10,11,-16,0,39,0,-21,-43,-55,-5,-49,-55,-49,-71,-77,6,39,56,-10,-60,-88,-93,-9999,-9999
Annapolis,USC00188557,TMIN,83,56,61,61,67,94,94,-9999,33,33,33,61,56,22,0,-11,44,-28,-44,-44,-11,-50,-39,61,133,61,-9999,-9999,-9999,-9999,-9999
Annapolis,USW00013752,TMIN,89,67,50,67,106,106,44,6,50,44,67,78,22,17,-5,6,56,-43,-55,17,-27,-49,39,100,78,17,11,-16,-9999,-9999,-9999
Boston,USC00190736,TMIN,44,17,-11,0,72,83,56,-11,-6,44,56,78,0,-6,-44,-44,-17,17,-72,-67,-50,-67,-61,56,122,50,-11,-33,-83,-78,-9999
Boston,USC00193624,TMIN,61,11,11,33,94,56,56,0,33,-11,22,72,22,11,-22,-61,28,-22,-61,-39,-39,-72,39,56,94,28,6,-17,-78,-9999,-9999
Boston,USC00194502,TMIN,50,33,11,44,89,67,67,6,22,11,67,100,28,6,-33,-56,-28,22,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
Boston,USW00014702,TMIN,33,11,-5,-21,17,17,17,0,-16,-27,-21,28,-21,-43,-60,-77,17,-43,-60,-32,-49,-71,17,22,28,0,-16,-88,-116,-9999,-9999
Boston,USW00014739,TMIN,39,11,22,72,83,78,39,17,44,28,56,78,33,6,-10,-16,28,-27,-43,-5,-27,-43,56,56,89,6,-5,-27,-49,-9999,-9999
Boston,USW00054704,TMIN,39,6,-5,-21,28,33,22,0,-21,-38,-21,28,-27,-27,-77,-82,17,-38,-55,-49,-49,-82,-5,6,33,6,-10,-43,-82,-9999,-9999
Lansing,USW00014836,TMIN,-49,-71,39,50,44,28,-10,17,-5,33,6,-16,-49,-60,-32,-38,-88,-105,-93,-105,-143,-60,89,-5,-21,-21,-66,-88,-21,-9999,-9999
Saint Paul,USC00214884,TMIN,-39,-39,17,61,11,17,-11,6,11,-33,-56,-89,-89,-111,-9999,-133,-133,-133,-133,-133,-144,-139,-139,-39,-117,-117,-183,-183,-111,-106,-9999
Saint Paul,USC00215838,TMIN,-72,11,56,0,-11,-33,-33,11,-17,-44,-89,-106,-89,-150,-167,-139,-150,-144,-94,-161,-167,6,0,-106,-144,-133,-200,-144,-56,-9999,-9999
Saint Paul,USC00217107,TMIN,-67,-67,22,44,-17,0,-33,0,11,-33,-56,-106,-106,-133,-161,-139,-150,-150,-139,-139,-178,-156,11,-50,-139,-139,-9999,-9999,-9999,-9999,-9999
